title|file|line|section|speaker|role|liwcScores-Achiev|liwcScores-Adverbs|liwcScores-Affect|liwcScores-Anger|liwcScores-Anx|liwcScores-Article|liwcScores-Assent|liwcScores-AuxVb|liwcScores-Bio|liwcScores-Body|liwcScores-Cause|liwcScores-Certain|liwcScores-CogMech|liwcScores-Conj|liwcScores-Death|liwcScores-Discrep|liwcScores-Excl|liwcScores-Family|liwcScores-Feel|liwcScores-Filler|liwcScores-Friends|liwcScores-Funct|liwcScores-Future|liwcScores-Health|liwcScores-Hear|liwcScores-Home|liwcScores-Humans|liwcScores-I|liwcScores-Incl|liwcScores-Ingest|liwcScores-Inhib|liwcScores-Insight|liwcScores-Ipron|liwcScores-Leisure|liwcScores-Money|liwcScores-Motion|liwcScores-Negate|liwcScores-Negemo|liwcScores-Nonflu|liwcScores-Numbers|liwcScores-Past|liwcScores-Percept|liwcScores-Posemo|liwcScores-Ppron|liwcScores-Prep|liwcScores-Present|liwcScores-Pronoun|liwcScores-Quant|liwcScores-Relativ|liwcScores-Relig|liwcScores-Sad|liwcScores-See|liwcScores-Sexual|liwcScores-SheHe|liwcScores-Social|liwcScores-Space|liwcScores-Swear|liwcScores-Tentat|liwcScores-They|liwcScores-Time|liwcScores-Verbs|liwcScores-We|liwcScores-Work|liwcScores-You|liwcScores-total-sentences|liwcScores-total-words|statement
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|10|R1|JOHN DONVAN|moderator|1|14|5|0|0|22|0|24|0|0|2|0|30|15|0|0|5|0|0|3|0|154|1|0|1|0|1|2|14|0|0|1|17|0|1|5|0|0|0|5|4|7|5|19|28|27|38|5|41|0|0|5|0|0|25|20|0|5|0|14|32|9|0|8|15|267|Sometimes a glitch is just a glitch. Your computer program locks up. You close it down again. You open it up again, and you move on because it was just a glitch. So the president's health insurance program, the Affordable Care Act, launches fall 2013 with some problems, problems with the software, problems with deadlines, problems with public expectations. So what are those? Are those just glitches or are we, as some have argued, actually looking at the blue screen of death for Obamacare? Well, that sounds like a debate. So let's have it, "Yes," or, "No," to this statement, "Obamacare is now beyond rescue," a debate from Intelligence Squared U.S., I'm John Donvan. We are at the Kaufman Music Center in New York, and we have four superbly qualified debaters, two teams of two, who will take opposite sides on this motion, "Obamacare is now beyond rescue. " As always, our debate goes in three rounds, and then the audience votes to choose a winner, and only one side wins. Our motion, "Obamacare is now beyond rescue," let's meet the team arguing for that motion. First, ladies and gentlemen, let's welcome Dr. Scott Gottlieb. Scott, you have been a practicing physician, you're a former FDA deputy commissioner, you have said in the past that Obamacare is looking more and more like Medicaid, which is an interesting comment because during the Bush administration you were actually a senior advisor to the Medicaid program. So what we're trying to understand is when you say that Obamacare is looking more like Medicaid, is that a compliment or the reverse?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|11|R1|SCOTT GOTTLIEB|for|0|0|1|0|0|3|0|0|0|0|0|0|2|1|0|0|0|0|0|0|0|9|0|0|0|0|0|0|1|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|2|1|2|0|1|0|0|0|0|0|0|1|0|1|0|0|1|0|0|0|2|23|Well, its the reverse, its a problem. Medicaid's quite literally obligating the poor to indecency in seeking medical care and poor health outcomes.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|12|R1|JOHN DONVAN|moderator|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|2|11|Thank you very much, Scott Gottlieb. And, Scott, your partner is?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|13|R1|SCOTT GOTTLIEB|for|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|5|The always provocative Megan McArdle.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|14|R1|JOHN DONVAN|moderator|1|3|3|0|0|5|0|9|0|0|0|0|6|4|0|0|1|0|0|0|0|42|0|0|0|0|0|0|1|0|0|1|6|0|0|0|0|2|0|1|4|0|1|1|10|8|7|2|10|0|0|0|0|0|1|3|0|3|0|6|12|0|0|1|5|75|Ladies and gentlemen, Megan McArdle. Megan, you are also arguing for this motion, "Obamacare is now beyond rescue. " You are a columnist for Bloomberg View. You are author of the forthcoming book, "The Up Side of Down, Why Failing Well is the Key to Success. " And given the start to healthcare.gov, which had some failures in its first week, does that mean it had some -- that was good failure or bad failure?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|15|R1|MEGAN MCARDLE|for|3|0|2|0|0|4|0|6|0|0|0|0|15|2|0|1|0|0|0|0|0|33|1|0|0|0|0|0|8|0|0|3|6|0|0|0|1|0|0|0|1|0|1|2|8|6|10|0|6|0|0|0|0|0|3|5|0|0|0|0|8|1|2|0|3|49|Well, the reason that I wrote the book is that I think the key to succeeding, to find out what works. And the best way to find out what works is to fail and find out what doesn't. And I would say we are finding out what doesn't work.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|16|R1|JOHN DONVAN|moderator|0|7|1|0|0|6|0|9|0|0|4|0|15|10|0|1|1|0|0|0|0|60|0|0|0|0|3|0|4|0|0|1|7|0|0|0|0|0|0|1|3|0|1|6|12|12|16|0|13|0|0|0|0|0|13|8|0|1|0|3|15|1|1|5|10|115|All right, thanks, ladies and gentlemen. Megan McArdle, ladies and gentlemen. Our motion is, "Obamacare is now beyond rescue. " We have two debaters arguing against this motion. First, let's welcome, ladies and gentlemen, Jonathan Chait. Jonathan, you are a daily columnist at New Yorker magazine. You write political commentary for its website and also for the print magazine. You have written on numerous occasions, you've made this point that the law that President Obama eventually signed off on is essentially based on a moderate Republican health care plan. And you used Romneycare as an example of that. So if that is true, what explains why the Republican party is now so vociferously against Obamacare?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|17|R1|JONATHAN CHAIT|against|0|3|5|0|0|7|0|10|0|0|0|0|16|6|0|1|3|0|0|1|0|44|0|0|2|0|0|0|1|0|0|4|10|0|0|0|3|0|0|0|5|2|5|2|7|9|13|1|5|0|0|0|0|2|8|1|0|2|1|4|15|0|1|1|4|72|Well, the vast majority of them really don't know what the law does. They're not policy wonks, and when Mitt Romney said he was for it, it sounded like a good solid Republican idea. When Barack Obama said he was for it, then it became a Socialist plot to destroy America. And if you don't know what's in the law, that's a pretty sensible way to think about what the law does.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|18|R1|JOHN DONVAN|moderator|0|1|0|0|0|0|0|1|0|0|1|0|5|2|0|0|0|0|0|0|0|6|0|0|0|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|1|0|3|0|2|3|0|0|0|0|1|0|0|4|0|0|0|0|0|2|1|0|2|3|17|All right, we see how you're thinking. Jonathan Chait, ladies and gentlemen. And, Jonathan, your partner is?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|19|R1|JONATHAN CHAIT|against|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|Doug Kamerow.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|20|R1|JOHN DONVAN|moderator|2|5|2|0|0|8|0|7|0|0|0|0|7|6|0|0|0|1|0|0|0|48|0|0|0|1|0|0|4|0|0|0|3|1|1|0|1|0|0|0|2|0|2|6|10|10|9|0|12|0|0|0|0|0|10|6|0|0|0|5|12|2|0|4|7|103|Ladies and gentlemen, let's welcome Dr. Douglas Kamerow. And, Doug, you are also arguing against this motion, "Obamacare is now beyond rescue. " You are a family doctor. You're a specialist in preventive medicine. You spent 20 years in the U.S. Public Health Service, working on a range of issues, clinical research policy, and reached the rank of assistant surgeon general. You have a book a while back, Dissecting American Health Care," and you started your chapter on health care reform by saying, quote, "Health is a blessing that money cannot buy. " So why, Doug, are we talking about dollars this year?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|21|R1|DOUGLAS KAMEROW|against|0|1|1|0|0|2|0|5|0|0|2|0|3|2|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|2|0|0|0|0|1|0|0|0|0|0|1|0|0|6|0|0|1|0|0|0|0|0|0|1|0|0|0|0|8|0|0|0|1|18|I think the reason, John, is because though health can't be bought, health care is a big business.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|22|R1|JOHN DONVAN|moderator|3|4|5|0|0|21|1|20|0|0|1|0|40|20|0|2|5|0|0|0|0|164|5|0|0|0|2|2|22|0|0|3|12|0|0|7|2|1|0|7|4|3|4|32|31|20|45|2|35|0|1|3|0|0|35|13|0|5|1|6|34|17|0|10|17|251|Well, ladies and gentlemen, Doug Kamerow. And let's welcome our four debaters. Now, this is a debate. It's a contest, a contest of wits, and logic, and humor, and ideas, and insight. It's competition, and by the time the debate has ended, we will have one side winning and one side losing and that is determined by a vote of you, our live audience, here in New York. We have you vote twice, once before the debate and once again after the debate, and the team whose numbers have changed the most over the course of the evening will be declared our winner. So let's go to our preliminary vote. Go to those keypads at your seat. We're going to register you -- we're going to register your opening positions as members of this audience on this motion: Obamacare is Now Beyond Rescue. If you agree with that statement, push number one. If you disagree, push number two, and if you're undecided, push number three. I see a lot of people staring at the graphic on the screen as they push the button. That is not meant to be a subliminal suggestion. It's meant only to be provocative, but not to sway your vote. All right. So we're going to lock out the votes, and I'll remind you again. After the arguments, which go three rounds, we will have you vote a second time and we'll very quickly get the results and find out who, in your view, won this debate.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|23|R2|JOHN DONVAN|moderator|1|0|0|0|0|3|0|4|0|0|0|0|5|3|0|0|0|0|0|0|0|26|1|0|0|0|1|0|5|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|8|2|0|2|9|0|0|0|0|0|3|4|0|0|0|2|4|0|0|0|6|62|So on to round one. Round one. Opening statements by each debater in turn. They will be seven minutes each maximum. Speaking first for the motion: Obamacare is Now Beyond Rescue, Dr. Scott Gottlieb. He is a resident fellow at the American Enterprise Institute and former FDA deputy commissioner for medical and scientific affairs, ladies and gentlemen, please welcome Dr. Scott Gottlieb.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|24|R2|SCOTT GOTTLIEB|for|19|59|21|1|0|101|0|76|0|0|7|4|124|53|1|7|18|4|0|0|0|603|8|0|0|6|0|3|38|0|0|8|73|4|5|16|11|3|1|8|16|3|14|25|165|79|104|28|137|0|1|3|0|1|47|77|0|21|6|29|112|4|12|9|65|1098|When it comes to Obamacare most of the focus is on the broken website and the problems enrolling people into the coverage, but the real failures of this plan go well beyond the internet. Theyre imbedded in the structure of the law and theyll become more acute as this scheme unfolds. Obamacare rests on some deeply flawed concepts that turn the proposals against the legislations own laudible goals. Simply put, its a plan at war with its own ambitions. And tonight I want to briefly address some of the paradoxes embedded in this law. First, Obamacare seeks to lower the cost of health care, but instead it creates new arrangements that will only make medical care more expensive. A big reason is provisions that deliberately force doctors to consolidate their medical practices around hospitals. Having doctors work for hospitals is often the costliest way to deliver care, and we know there's a lot of excess capacity in hospitals. We've basically built in a subsidy of that excess capacity. And we also know that there's ample evidence that when physicians become the employees of hospitals and hospital-owned systems, productivity falls. And when hospitals buy up local physicians in a community, enabling them to exercise monopoly pricing power, they raise prices. Second, the law seeks to increase competition between insurers its partly seen as a way to lower costs, but Obamacare will actually reduce the number of health plans in the marketplace and leave you with fewer choices. For one thing, Obamacare taps the operating margins of health plans. This basically protects the businesses of incumbent insurers at the expense of new start-ups and new entrants. Obamacare also uses regulation to prescribe a single uniform benefit package. The result is that consumers are left with just one option when it comes to the benefits they can choose from. Go on the website and take a look for yourself and I'm putting out some data on this next week. If you look at the health plans that insurance companies sell on the exchanges, the provider networks and the drug formularies are exactly the same. It doesn't matter if you buy a plan that's a bronze plan, a gold plan, or a platinum plan. By buying up to a costlier plan, all you're doing is lowering your co-pays and deductibles. In other words, you're just fronting a higher premium to buy down your out-of-pocket costs. There is no competition between these plans based on benefits or networks. There is no real choice in these exchanges. Third, Obamacare is aimed at reducing the number of uninsured Americans, but the vast majority of the uninsured who get coverage under this scheme will end up on Medicaid. And so what about the people who sign up for private coverage in the Obamacare exchanges? They're going to mostly be people who were previously insured in the individual or small-group markets and got moved into Obamacare, some of them forcibly. But don't take my word for this. Look at the numbers being put out by the administration. The White House says that 19 million people will be added to Medicaid. That's a 35 percent increase in the size of the program, but at best, five million people will get Obamacare coverage this year and it's probably going to be closer to four million. But we know at least five million people lost their policies when the mandates of this law were imposed on a private market and insurers had to drop old plans to conform. And as for the uninsured, the lower middle class folks, for people above 200 percent of the federal poverty level, family of four earning about $50,000 a year -- Obamacare is still too expensive for them, even with the benefits and the subsidies. And so, a family of four earning $50,000 a year will have to pay $400 a month, even after the subsidies, to buy that coverage. That's $5,000 a month. And they're getting a plan with a $3,000 deductible. The problem is that's not a good plan for that family. And the problem is that these plans were designed in Washington to meet political aspirations rather than marketplace, to meet the demand of what consumers needed. And think about this. There were 46.3 million uninsured in 2008, when President Obama took office. This year, there were 48 million uninsured Americans. The only way the president is going to leave office with fewer uninsured Americans than when his term began is by obligating more people to Medicaid. Obamacare is really a Medicaid law. And so, it begs the question, what about Medicaid? There is now ample evidence in the clinical literature that people on Medicaid are experiencing worse health outcomes than people in other insurance schemes. And sometimes even in the uninsured. Simply put, reimbursement rates have been driven so low in the Medicaid program that folks can't get access to the benefits that they're promised on paper. I don't consider it successful if the only way we reduce the roles of the uninsured in this country is by obligating more Americans to a Medicaid program that is quite literally worsening medical outcomes. This doesn't seem moral. Yet Obamacare does almost nothing to fix that Medicaid. It just pushes more people to an already failing system. In many ways, these problems that plague Medicaid will also plague Obamacare. Obamacare makes so many costly promises on paper, but the only way to pay for these commitments is to reduce what providers are paid. And Obamacare, this is now a network that contains a very short list of providers and closed drug formularies that leave key medicines uncovered. And the Obamacare regulations don't just apply to the Obamacare plans. This is a federalization of all insurance in this country, so everyone's benefits need to conform to the single, uniform national standard. Obamacare was a response to a flawed healthcare system. There's no question about that. But it makes things worse. It reduces choice and competition in health plans. It increases costs by reducing the productivity of the practice of medicine. And finally, it only reduces the number of uninsured by obligating millions of more people to a Medicaid benefit that's quite literally harming people's health. In all of these ways, Obamacare works again its own laudable intentions. There are far better ways to address issues of the uninsured in this country and far better ways to address the issues of those who are priced out of the insurance market. For all these reasons and more, Obamacare is now beyond rescue. Thanks a lot.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|25|R2|JOHN DONVAN|moderator|0|4|0|0|0|2|0|6|0|0|0|0|6|3|0|1|1|0|0|0|0|35|0|0|1|0|0|4|3|0|0|0|5|0|0|1|0|0|0|0|0|2|0|5|10|8|10|0|8|0|0|0|0|0|4|4|0|0|0|1|8|1|0|0|10|79|Thank you. Scott Gottlieb. And that's our motion: Obamacare is now beyond rescue. And here to speak against this motion, Dr. Douglas Kamerow. He is a Professor of -- I'm sorry. I just want to pronounce your name correctly. I'm going to get it right this time. Dr. Douglas Kamerow. He is a Professor of Clinical Family Medicine at Georgetown University and Chief Scientist of Health Services and Policy Research at RTI International. Ladies and gentlemen, Dr. Douglas Kamerow.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|26|R2|DOUGLAS KAMEROW|against|9|63|38|1|0|69|0|129|1|0|7|2|194|77|1|19|45|3|0|2|0|719|10|1|4|2|3|6|69|0|0|4|85|7|25|13|36|12|0|16|61|7|22|69|154|114|160|35|133|0|4|2|0|1|100|63|0|31|9|42|201|30|3|21|62|1205|Thanks, John, and thanks for inviting me. The motion that you've heard is "Obamacare is now beyond rescue. What you heard Dr. Gottlieb argue is not that it's beyond rescue, it's that he doesn't like a lot of the provisions of the law. What we're here to discuss, it seems to me, is what has been in the proposed. And the proposed was either Obamacare is now beyond rescue -- meaning it's not doing what it was supposed to do - - or it is not beyond rescue, and therefore it is doing what it can do. My partner, Jonathan Chait, and I will argue that not only is this law not beyond rescue, it doesn't need to be rescued because the law already has worked and is working. And to understand whether it's working, we need to understand where we were before the law was passed and what the goals of the law were. I'll cover that. And Jonathan will also discuss the achievements of Obamacare. But he'll focus on criticisms and dire predictions of which we've already heard many from the opponents of the law. Speaking of the dire predictions, we'll come back to some of the ones we heard. But there are a few, I think, that we'll have to deal with sooner rather than later. Let me first turn to the question about Obamacare and what it does. It's an insurance law, but of course it includes cost controls and quality improvements as well. I want to focus on the insurance stuff, because the question occurs, why is health insurance important? There are a lot of studies that show a lot of reasons for it. Some include showing that kids who have healthcare insurance are less likely to miss their shots. And if they don't have insurance, they're more likely to miss them. Healthy adults without insurance tend not to get mammograms and other preventive services that they need. People who have diseases such as diabetes and hypertension and they don't have insurance do poorly. They tend to be more out of control, and if they have bad outcomes like strokes, they tend to be more severe. But just as important in terms of outcomes besides health, people who have no insurance and have a serious health problem can be bankrupted by it in this system that we had until very recently. This led a group at the Institute of Medicine in a big report to say that a lack of health care insurance results in needless illness, needless suffering, and needless death. Let's turn the clock back a little bit to 2008, 2009 when this law was being debated. At that time, we had 40 to 45 million people uninsured. We were spending two and a half trillion dollars a year on health and health care and growing, and we had some of the worst statistics for health outcomes in the developed world. In addition, most of the insurance products that we saw at that time didn't have portability. If you lost your job, you often lost your insurance. You didn't have guaranteed issue, so if you had a preexisting condition and tried to get health insurance and you're not in a big group, forget about it. And there were no national standards for insurance policies. We were largely -- not exclusively, but we were largely in a fee for service system with incentives really pushing towards more care, not better care, not the appropriate care, but the more you did, the more you got paid. And so it was estimated at that time that unnecessary care could've been 10, even 20 percent of the money that was being spent. And equally important were the projections -- and this is just now four years ago -- the projections of where we are going to be by 2018, which is just four years from now, if nothing had been done, over 60 million people uninsured at that point, health care spending going from trillion to $4.7 trillion a year, family health care premiums going up from $13,000 to average 30,000 a year, Medicare trust fund runs out of money, and no change in that fee for service culture that pays for more medicine, more health care, and not necessarily better. So in March 2010, which is now almost four years ago, we had this law signed, Obamacare, the Affordable Care Act, ACA, hugely complex, admittedly, admittedly imperfect law, but not just insurance , quality improvement, cost reductions. What are some of the things that have happened in the first three years of this law? Young adults 26 and under now can get coverage on their parents' policies, and three million have. Preexisting conditions not allowed to prevent coverage. There's portability of insurance coverage, no lifetime caps, community rating, which means if you're in a small business, one person gets very sick or their family member does, it doesn't raise the rates for everybody. No lifetime caps on coverage, lots of stuff, and in some ways very importantly, no copays, no deductibles for preventive care that's evidence based. Also, cost related things, we're now paying hospitals for outcomes and not the services they deliver. There are penalties for hospital readmissions when someone's discharged and then readmitted to the hospital soon afterwards. Something called accountable care organizations are getting paid for performance rather than piecework, and there are many experiments and demonstrations from part of the government now called the Center for Medicare and Medicaid Innovation. Importantly, cost reforms have slowed down cost dramatically. That is, the increase per year is just an average of 1.1 percent in the past three years, 2010 to 2012. So in summary, before this year, before anything that's been controversial in the news happened, there are already a lot of good things that are going on because of Obamacare. Then we come to October 2013. Everyone knows, what a disaster. Okay? People can't sign up. The computer systems don't work. The website's a mess. There's lots of confusion. Some provisions of the law were postponed. But even conceding that all this was a mess, let's look what's happened recently. Six million enrollees, two million in exchanges, 4.4 million in Medicaid -- we'll come back to Medicaid -- people up to 400 percent of the federal poverty levels are getting subsidies to help pay for insurance, and cost increases continue to moderate . Let me conclude now by asking you to remember where we were, where we've been, and where we are now. I want to quote from a mock interview that was in one of my favorite newspapers, a satirical newspaper called The Onion. The headline was, "Nation Recalls Simpler Time When Health Care System Was Broken Beyond Repair. " Here's the quote, "Back then, if you couldn't afford health care insurance and got really sick, you went bankrupt, plain and simple," said a Modesto , California, mother of three. "You didn't have this whole mess of lower cost options or all these subsidies you might or might not qualify for based on your income. People didn't have to deal with any of that stuff and those headaches, just went ahead and died of preventable causes. "
